,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,Fator_balanc,Normalizacao
47,SVC,0.7579769178547182,0.603671238345741,0.6036712383457411,0.7225993608854838,3.5280816555023193,N/A,0.37,SIM
48,NuSVC,0.7572980312287848,0.5995984124374721,0.5995984124374721,0.7198009928426143,3.4179978370666504,N/A,0.37,SIM
49,LabelPropagation,0.6945010183299389,0.5987999342429722,0.5987999342429722,0.6905677207797857,4.542997598648071,N/A,0.37,SIM
50,LabelSpreading,0.693143245078072,0.5954662877809351,0.5954662877809351,0.6886250201188496,7.006114959716797,N/A,0.37,SIM
51,CalibratedClassifierCV,0.7566191446028513,0.5927185834057443,0.5927185834057443,0.7150232247366566,2.116898536682129,N/A,0.37,SIM
52,SGDClassifier,0.7331975560081466,0.5097496536013715,0.5097496536013715,0.6324193792279151,0.04599809646606445,N/A,0.37,SIM
53,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.024004697799682617,N/A,0.37,SIM
54,NearestCentroid,0.6975560081466395,0.7007362438646345,0.7007362438646344,0.7131405671414988,0.019983530044555664,1,0.37,SIM
55,CalibratedClassifierCV,0.7389680923285811,0.659255301660365,0.659255301660365,0.7367203616950894,0.26398181915283203,1,0.37,SIM
56,PassiveAggressiveClassifier,0.7460964019008826,0.6236243864634461,0.6236243864634461,0.7279530099979032,0.022996187210083008,1,0.37,SIM
57,LabelPropagation,0.7488119484046164,0.6118456588619338,0.6118456588619338,0.723554147831955,2.844998359680176,1,0.37,SIM
58,LabelSpreading,0.7484725050916496,0.6104107465771118,0.6104107465771118,0.7226569555411626,4.455986976623535,1,0.37,SIM
59,AdaBoostClassifier,0.748133061778683,0.6093768347384985,0.6093768347384984,0.7219654191628266,0.27299928665161133,1,0.37,SIM
60,LGBMClassifier,0.7437202987101154,0.5951339799441066,0.5951339799441066,0.7122351394332526,0.15000009536743164,1,0.37,SIM
61,SVC,0.7474541751527495,0.5944769967826026,0.5944769967826027,0.7131897021950487,4.167513608932495,1,0.37,SIM
62,XGBClassifier,0.7443991853360489,0.5939938000516662,0.5939938000516664,0.7118056168917405,0.5249991416931152,1,0.37,SIM
63,QuadraticDiscriminantAnalysis,0.7464358452138493,0.5925782626053874,0.5925782626053875,0.7116602503866059,0.014988183975219727,1,0.37,SIM
64,LogisticRegression,0.7464358452138493,0.5925782626053874,0.5925782626053875,0.7116602503866059,0.019980669021606445,1,0.37,SIM
65,GaussianNB,0.7464358452138493,0.5925782626053874,0.5925782626053875,0.7116602503866059,0.017998933792114258,1,0.37,SIM
66,KNeighborsClassifier,0.7162253903598099,0.591186209811888,0.591186209811888,0.6986733210606599,0.1020040512084961,1,0.37,SIM
67,LinearDiscriminantAnalysis,0.7447386286490156,0.5874087034123201,0.58740870341232,0.7078162527660398,0.020992040634155273,1,0.37,SIM
68,ExtraTreesClassifier,0.6690427698574338,0.5814066132782227,0.5814066132782226,0.6700213410803164,0.7200253009796143,1,0.37,SIM
69,RandomForestClassifier,0.6680244399185336,0.579106878654799,0.5791068786547992,0.668682549587388,1.3959953784942627,1,0.37,SIM
70,ExtraTreeClassifier,0.6673455532926001,0.5786430567624058,0.5786430567624058,0.6681351070862928,0.01997995376586914,1,0.37,SIM
71,DecisionTreeClassifier,0.6673455532926001,0.5786430567624058,0.5786430567624058,0.6681351070862928,0.03900909423828125,1,0.37,SIM
72,BaggingClassifier,0.6795655125594026,0.5777688405626923,0.5777688405626923,0.6746976040055157,0.17800116539001465,1,0.37,SIM
73,LinearSVC,0.745417515274949,0.5774465137032949,0.5774465137032949,0.7011837489718509,0.07402300834655762,1,0.37,SIM
74,RidgeClassifier,0.7477936184657162,0.5718518822949202,0.5718518822949202,0.6974704726594937,0.02300238609313965,1,0.37,SIM
75,RidgeClassifierCV,0.7474541751527495,0.5712189709025152,0.5712189709025152,0.6969043152043857,0.025998353958129883,1,0.37,SIM
76,NuSVC,0.6116768499660556,0.5446196660482374,0.5446196660482374,0.6238588020665412,1.6050193309783936,1,0.37,SIM
77,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.014007806777954102,1,0.37,SIM
78,Perceptron,0.7318397827562797,0.5,0.5,0.6185208042424692,0.01801609992980957,1,0.37,SIM
79,SGDClassifier,0.7318397827562797,0.5,0.5,0.6185208042424692,0.04000091552734375,1,0.37,SIM
80,BernoulliNB,0.7318397827562797,0.5,0.5,0.6185208042424692,0.021018505096435547,1,0.37,SIM
81,NearestCentroid,0.41615750169721655,0.5209130833000634,0.5209130833000635,0.42024321492063355,0.016001224517822266,1,0.37,NAO
82,Perceptron,0.41004752206381534,0.5187436884995655,0.5187436884995655,0.4116969378820313,0.020000219345092773,1,0.37,NAO
83,ExtraTreeClassifier,0.6147318397827563,0.5138248279749185,0.5138248279749185,0.6164627613892846,0.02199554443359375,1,0.37,NAO
84,NuSVC,0.5044127630685675,0.5130398534557666,0.5130398534557666,0.5323138398141795,1.9809932708740234,1,0.37,NAO
85,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.013988256454467773,1,0.37,NAO
86,KNeighborsClassifier,0.6761710794297352,0.5036706512294216,0.5036706512294216,0.6322351826533285,0.10300135612487793,1,0.37,NAO
87,DecisionTreeClassifier,0.608621860149355,0.5020314224654189,0.5020314224654189,0.6088564754147716,0.04701590538024902,1,0.37,NAO
88,RandomForestClassifier,0.6082824168363883,0.5013985110730138,0.5013985110730138,0.6084391401779939,2.0240020751953125,1,0.37,NAO
89,AdaBoostClassifier,0.7318397827562797,0.5004010004462084,0.5004010004462084,0.6191535376931327,0.27699851989746094,1,0.37,NAO
90,LogisticRegression,0.7318397827562797,0.5,0.5,0.6185208042424692,0.026005029678344727,1,0.37,NAO
91,SVC,0.7318397827562797,0.5,0.5,0.6185208042424692,1.5950000286102295,1,0.37,NAO
92,SGDClassifier,0.7318397827562797,0.5,0.5,0.6185208042424692,0.028995275497436523,1,0.37,NAO
93,RidgeClassifierCV,0.7318397827562797,0.5,0.5,0.6185208042424692,0.01856398582458496,1,0.37,NAO
94,RidgeClassifier,0.7318397827562797,0.5,0.5,0.6185208042424692,0.021016836166381836,1,0.37,NAO
95,PassiveAggressiveClassifier,0.7318397827562797,0.5,0.5,0.6185208042424692,0.02299976348876953,1,0.37,NAO
96,LinearSVC,0.7318397827562797,0.5,0.5,0.6185208042424692,0.28400301933288574,1,0.37,NAO
97,LinearDiscriminantAnalysis,0.7318397827562797,0.5,0.5,0.6185208042424692,0.023002147674560547,1,0.37,NAO
98,CategoricalNB,0.7318397827562797,0.5,0.5,0.6185208042424692,0.02100086212158203,1,0.37,NAO
99,BernoulliNB,0.7318397827562797,0.5,0.5,0.6185208042424692,0.022002458572387695,1,0.37,NAO
100,LGBMClassifier,0.7318397827562797,0.5,0.5,0.6185208042424692,0.15900540351867676,1,0.37,NAO
101,ExtraTreesClassifier,0.6076035302104549,0.49973168784199523,0.4997316878419953,0.6074458220939644,0.7749810218811035,1,0.37,NAO
102,XGBClassifier,0.7219959266802444,0.4996905896996313,0.49969058969963137,0.6230229898392003,0.5049962997436523,1,0.37,NAO
103,LabelSpreading,0.7311608961303462,0.4995361781076067,0.4995361781076067,0.6181893694341282,4.657996654510498,1,0.37,NAO
104,LabelPropagation,0.7311608961303462,0.4995361781076067,0.4995361781076067,0.6181893694341282,2.562999725341797,1,0.37,NAO
105,QuadraticDiscriminantAnalysis,0.7169042769857433,0.4966129259528898,0.49661292595288975,0.6208560197619793,0.015000104904174805,1,0.37,NAO
106,GaussianNB,0.7169042769857433,0.4966129259528898,0.49661292595288975,0.6208560197619793,0.015001535415649414,1,0.37,NAO
107,BaggingClassifier,0.6167684996605567,0.49075526643338574,0.4907552664333858,0.6076831059567346,0.20601773262023926,1,0.37,NAO
108,CalibratedClassifierCV,0.6761710794297352,0.48281862802658465,0.4828186280265846,0.6137694670591184,0.946997880935669,1,0.37,NAO
109,NearestCentroid,0.7080787508486083,0.7119354876588149,0.7119354876588149,0.722946968048053,0.023004531860351562,3,0.37,SIM
110,Perceptron,0.7118126272912424,0.7000504920034758,0.7000504920034758,0.7248819791614955,0.020000457763671875,3,0.37,SIM
111,BernoulliNB,0.7338764426340801,0.6573806392522487,0.6573806392522487,0.7328962239204189,0.02399921417236328,3,0.37,SIM
112,QuadraticDiscriminantAnalysis,0.7477936184657162,0.6231799394095958,0.6231799394095959,0.7285976101080399,0.018999576568603516,3,0.37,SIM
113,AdaBoostClassifier,0.7471147318397827,0.6223151170709942,0.6223151170709942,0.7278670518579944,0.3840148448944092,3,0.37,SIM
114,LGBMClassifier,0.7474541751527495,0.6201410253399403,0.6201410253399403,0.7270244652988196,0.1849985122680664,3,0.37,SIM
115,LogisticRegression,0.7539035980991174,0.6201363284093845,0.6201363284093845,0.7300664673783808,0.03600049018859863,3,0.37,SIM
116,LinearDiscriminantAnalysis,0.751866938221317,0.6199478640708298,0.6199478640708297,0.7290275032748501,0.04500269889831543,3,0.37,SIM
117,ExtraTreesClassifier,0.7423625254582484,0.6190683638242409,0.6190683638242409,0.7240432204795548,0.7479989528656006,3,0.37,SIM
118,RandomForestClassifier,0.7420230821452818,0.6188364528780441,0.6188364528780442,0.7237704722836967,1.163001298904419,3,0.37,SIM
119,GaussianNB,0.7494908350305499,0.6167204856626194,0.6167204856626195,0.7263333137355699,0.0189969539642334,3,0.37,SIM
120,LabelPropagation,0.7464358452138493,0.6162372889316832,0.6162372889316832,0.7246775822168908,3.5440022945404053,3,0.37,SIM
121,KNeighborsClassifier,0.7338764426340801,0.6156765928465747,0.6156765928465747,0.7182934212431084,0.11400008201599121,3,0.37,SIM
122,XGBClassifier,0.7399864222674813,0.6146379840774054,0.6146379840774054,0.7208519402492273,0.5779948234558105,3,0.37,SIM
123,LabelSpreading,0.7450780719619824,0.6133046429158544,0.6133046429158544,0.7226134576760093,6.362999200820923,3,0.37,SIM
124,PassiveAggressiveClassifier,0.7542430414120842,0.6123482304314131,0.6123482304314132,0.7261619026867636,0.026012182235717773,3,0.37,SIM
125,LinearSVC,0.7556008146639511,0.6092658697541157,0.6092658697541157,0.7250084753653667,0.37599802017211914,3,0.37,SIM
126,SVC,0.758316361167685,0.6075121533078134,0.6075121533078133,0.7250511408947651,3.059000015258789,3,0.37,SIM
127,NuSVC,0.7572980312287848,0.6072174209154317,0.6072174209154317,0.7244876203734878,3.7309935092926025,3,0.37,SIM
128,RidgeClassifier,0.7562797012898846,0.6045166858457998,0.6045166858457998,0.7224933680306427,0.02499842643737793,3,0.37,SIM
129,CalibratedClassifierCV,0.7559402579769179,0.6034827740071863,0.6034827740071863,0.7217432352921606,1.129000186920166,3,0.37,SIM
130,BaggingClassifier,0.7345553292600135,0.6029074000140908,0.6029074000140908,0.7126845364291157,0.2819836139678955,3,0.37,SIM
131,RidgeClassifierCV,0.7549219280380176,0.5999800380451374,0.5999800380451374,0.7192229827496217,0.02200007438659668,3,0.37,SIM
132,DecisionTreeClassifier,0.6775288526816021,0.5892093891641812,0.5892093891641811,0.6775288526816021,0.05897998809814453,3,0.37,SIM
