,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,encoder,Fator_balanc,Normalizacao
95,LinearDiscriminantAnalysis,0.77875,0.5,0.5,0.6818851018973998,0.0533292293548584,1,LabelEncoder,N/A,NAO
96,GaussianNB,0.77875,0.5,0.5,0.6818851018973998,0.022996902465820312,1,LabelEncoder,N/A,NAO
97,CalibratedClassifierCV,0.77875,0.5,0.5,0.6818851018973998,2.1085636615753174,1,LabelEncoder,N/A,NAO
98,BernoulliNB,0.77875,0.5,0.5,0.6818851018973998,0.038999319076538086,1,LabelEncoder,N/A,NAO
99,Perceptron,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.02701425552368164,1,LabelEncoder,N/A,NAO
100,LabelSpreading,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,21.305031538009644,1,LabelEncoder,N/A,NAO
101,LabelPropagation,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,7.993460655212402,1,LabelEncoder,N/A,NAO
102,AdaBoostClassifier,0.7785416666666667,0.49986623863028357,0.49986623863028357,0.6817825348483073,0.4519944190979004,1,LabelEncoder,N/A,NAO
103,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.03299880027770996,1,LabelEncoder,N/A,NAO
104,NearestCentroid,0.729375,0.667831221868548,0.6678312218685482,0.7421133949722803,0.029000520706176758,6,LabelEncoder,N/A,SIM
105,Perceptron,0.7179166666666666,0.6277806494907999,0.6277806494908,0.7268780197440461,0.07601118087768555,6,LabelEncoder,N/A,SIM
106,QuadraticDiscriminantAnalysis,0.79625,0.6244842252269409,0.6244842252269409,0.7730581475128646,0.04999995231628418,6,LabelEncoder,N/A,SIM
107,AdaBoostClassifier,0.7995833333333333,0.6165129544485858,0.6165129544485859,0.7714347201012213,0.8658812046051025,6,LabelEncoder,N/A,SIM
108,LGBMClassifier,0.79375,0.6161381203277985,0.6161381203277985,0.768322323040643,0.2810935974121094,6,LabelEncoder,N/A,SIM
